claim_type,requested_amount,evidence_available,evidence_count,previous_refund_count,previous_refund_amount,account_age_days,previous_support_decisions,previous_support_approvals,previous_support_evidence_requests,previous_support_escalations,time_since_previous_request_hours,support_decision
SHORTAGE_CLAIM,1602.3,False,0,0,886.67,1052,0,0,0,0,999.0,DENY
SHORTAGE_CLAIM,2836.89,False,0,0,1312.07,1356,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,5255.32,False,0,1,189.3,1346,0,0,0,0,999.0,REQUEST_EVIDENCE
SUBSTITUTED_RETURN_CLAIM,2037.44,True,1,0,437.83,1258,0,0,0,0,999.0,APPROVE
WRONG_ITEM_CLAIM,5865.87,False,0,0,2448.84,940,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,728.4,True,1,0,248.01,1180,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,3675.69,False,0,0,1297.52,1225,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,1382.22,True,1,1,3640.09,589,0,0,0,0,999.0,DENY
SHORTAGE_CLAIM,1470.77,True,1,0,793.19,814,0,0,0,0,999.0,APPROVE
SHORTAGE_CLAIM,2809.2,True,1,0,928.4,1415,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,2989.47,False,0,1,1224.78,1045,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,3613.22,True,1,0,1879.39,512,0,0,0,0,999.0,APPROVE
WRONG_ITEM_CLAIM,2342.85,False,0,0,2607.02,36,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,1901.16,False,0,2,7120.96,933,0,0,0,0,999.0,DENY
NON_DELIVERY_CLAIM,3033.68,True,1,0,715.72,1294,0,0,0,0,999.0,APPROVE
WRONG_ITEM_CLAIM,1580.7,True,1,1,968.04,373,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,587.95,False,0,0,1390.28,525,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,4319.4,False,0,1,1077.78,1293,0,0,0,0,999.0,REQUEST_EVIDENCE
SUBSTITUTED_RETURN_CLAIM,690.4,True,1,0,2693.8,1135,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,2635.67,False,0,0,2378.22,926,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,5668.14,True,1,0,2563.05,1495,0,0,0,0,999.0,ESCALATE
SUBSTITUTED_RETURN_CLAIM,508.01,True,1,1,751.82,652,0,0,0,0,999.0,APPROVE
WRONG_ITEM_CLAIM,8894.3,True,1,0,1000.55,1430,0,0,0,0,999.0,ESCALATE
WRONG_ITEM_CLAIM,3878.26,False,0,0,244.22,139,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,3248.63,False,0,0,260.39,1248,0,0,0,0,999.0,REQUEST_EVIDENCE
NON_DELIVERY_CLAIM,508.01,False,0,1,751.82,652,1,1,0,0,0.06666668027777778,REQUEST_EVIDENCE
SHORTAGE_CLAIM,4196.06,False,0,1,416.38,1493,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,2027.67,True,1,1,355.79,935,0,0,0,0,999.0,APPROVE
