claim_type,requested_amount,evidence_available,evidence_count,previous_refund_count,previous_refund_amount,account_age_days,previous_support_decisions,previous_support_approvals,previous_support_evidence_requests,previous_support_escalations,time_since_previous_request_hours,support_decision,episode_id,customer_id,sequence_number,timestamp,request_id,order_id,claim_text,evidence_types,reason_code,approved_amount,requires_followup,previous_support_denials
SHORTAGE_CLAIM,1278.3,True,1,3,5920.91,866,0,0,0,0,999.0,APPROVE,EPISODE_00001,CUSTOMER_0001,1,2026-01-24 12:43:00,POLICY_REQUEST_0000001,ORDER_000002,Customer reports a shortage_claim.,delivery_photo,ELIGIBLE,1278.3,False,0
SUBSTITUTED_RETURN_CLAIM,559.11,False,0,3,5920.91,866,1,1,0,0,1.4,REQUEST_EVIDENCE,EPISODE_00001,CUSTOMER_0001,2,2026-01-24 14:07:00,POLICY_REQUEST_0000002,ORDER_000002,Customer reports a substituted_return_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
SUBSTITUTED_RETURN_CLAIM,7803.58,False,0,3,5920.91,866,2,1,1,0,43.68333333333333,REQUEST_EVIDENCE,EPISODE_00001,CUSTOMER_0001,3,2026-01-26 09:48:00,POLICY_REQUEST_0000003,ORDER_000004,Customer reports a substituted_return_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
NON_DELIVERY_CLAIM,810.38,True,1,3,5920.91,866,3,1,2,0,3.65,APPROVE,EPISODE_00001,CUSTOMER_0001,4,2026-01-26 13:27:00,POLICY_REQUEST_0000004,ORDER_000007,Customer reports a non_delivery_claim.,delivery_evidence,ELIGIBLE,810.38,False,0
SHORTAGE_CLAIM,2103.73,True,1,3,5920.91,866,4,2,2,0,16.166666666666668,APPROVE,EPISODE_00001,CUSTOMER_0001,5,2026-01-27 05:37:00,POLICY_REQUEST_0000005,ORDER_000007,Customer reports a shortage_claim.,delivery_photo,ELIGIBLE,2103.73,False,0
SUBSTITUTED_RETURN_CLAIM,1647.65,False,0,3,5920.91,866,5,3,2,0,12.833333333333334,REQUEST_EVIDENCE,EPISODE_00001,CUSTOMER_0001,6,2026-01-27 18:27:00,POLICY_REQUEST_0000006,ORDER_000002,Customer reports a substituted_return_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
SHORTAGE_CLAIM,7566.1,False,0,3,5920.91,866,6,3,3,0,3.933333333333333,REQUEST_EVIDENCE,EPISODE_00001,CUSTOMER_0001,7,2026-01-27 22:23:00,POLICY_REQUEST_0000007,ORDER_000004,Customer reports a shortage_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
NON_DELIVERY_CLAIM,1662.65,True,1,3,5920.91,866,7,3,4,0,9.6,APPROVE,EPISODE_00001,CUSTOMER_0001,8,2026-01-28 07:59:00,POLICY_REQUEST_0000008,ORDER_000007,Customer reports a non_delivery_claim.,delivery_evidence,ELIGIBLE,1662.65,False,0
WRONG_ITEM_CLAIM,2540.21,False,0,3,5920.91,866,8,4,4,0,19.5,REQUEST_EVIDENCE,EPISODE_00001,CUSTOMER_0001,9,2026-01-29 03:29:00,POLICY_REQUEST_0000009,ORDER_000002,Customer reports a wrong_item_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
NON_DELIVERY_CLAIM,8036.76,False,0,3,5920.91,866,9,4,5,0,9.633333333333333,REQUEST_EVIDENCE,EPISODE_00001,CUSTOMER_0001,10,2026-01-29 13:07:00,POLICY_REQUEST_0000010,ORDER_000004,Customer reports a non_delivery_claim.,,DELIVERY_CONTRADICTION,0.0,True,0
